Location,Trainer,Pokemon,Level,Item,Move 1,Move 2,Move 3,Move 4,EXP
,,Bayleef,26,Miracleberry,Synthesis,Giga Drain,Psychic M,Body Slam,785
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Officer OFFICER (1) KEITH,Noctowl,27,Pink Bow,Wing Attack,Psychic M,Return,Steel Wing,937
,,Growlithe,27,Berry Juice,Flamethrower,Crunch,Double Edge,Extremespeed,526
,,Porygon,27,Berry Juice,Tri Attack,Ice Beam,Recover,Psybeam,752
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Camper CAMPER (2) TODD,Raticate,27,Pink Bow,Return,Shadow Ball,Crunch,Quick Attack,671
,,Quagsire,26,Berry Juice,Bubblebeam,Dig,Body Slam,Rock Throw,763
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
immediate,PokefanM POKEFANM (7) BRANDON,Pikachu,27,Light Ball,Thunderbolt,Quick Attack,Submission,No Move,474
,,Clefairy,27,Berry Juice,Ice Punch,Thunderpunch,Attract,Dizzy Punch,393
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Goldenrod entrance,SuperNerd SUPER_NERD (10) TERU,Voltorb,24,Pink Bow,Selfdestruct,Thunderbolt,Thunder Wave,No Move,529
boom trainer,,Shellder,24,Pink Bow,Selfdestruct,Waterfall,Ice Beam,Protect,498
,,Grimer,24,Pink Bow,Selfdestruct,Sludge Bomb,Flamethrower,No Move,462
,,Exeggcute,24,Pink Bow,Selfdestruct,Giga Drain,Sleep Powder,Psychic M,504
,,,,,,,,,
,,,,,,,,,
(immediate),Pokemaniac POKEMANIAC (11) ISSAC,Smeargle,28,Berry,Extremespeed,Bubblebeam,Flame Wheel,No Move,636
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
boom trainer,SuperNerd SUPER_NERD (2) ERIC,Sudowoodo,26,Berry Juice,Rock Slide,Earthquake,Selfdestruct,Ice Punch,752
,,Haunter,27,Berry Juice,Shadow Ball,Ice Punch,Psychic M,Selfdestruct,729
,,Geodude,27,Berry Juice,Selfdestruct,No Move,No Move,No Move,422
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Pokemaniac POKEMANIAC (12) DONALD,Arbok,27,Poison Barb,Sludge,Giga Drain,Crunch,No Move,850
,,Azumarill,27,Berry Juice,Waterfall,Ice Beam,Sing,Double Edge,885
,,Sandslash,27,Berry Juice,Dig,Rock Slide,Metal Claw,Return,943
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Goldenrod Gym,Beauty BEAUTY (1) VICTORIA,Furret,28,Berry Juice,Body Slam,Submission,Thunderpunch,Fire Punch,696
,,Flaaffy,28,Berry Juice,Thunderpunch,Fire Punch,Iron Tail,No Move,702
,,Lickitung,28,Berry Juice,Headbutt,Rollout,Attract,Ice Punch,762
,,Gloom,28,Berry Juice,Sludge,Giga Drain,Sleep Powder,No Move,792
,,,,,,,,,
,,,,,,,,,
(immediate),Beauty BEAUTY (2) SAMANTHA,Seaking,28,Berry Juice,Surf,Ice Beam,Body Slam,No Move,1020
,,Ninetales,27,Berry Juice,Flame Wheel,Bite,Psybeam,Morning Sun,1029
,,Togetic,28,Leftovers,Seismic Toss,Fire Punch,Softboiled,Psychic M,684
,,Xatu,27,Miracleberry,Psybeam,Drill Peck,Confuse Ray,No Move,989
,,,,,,,,,
,,,,,,,,,
,Lass LASS (1) CARRIE,Meowth,29,Berserk Gene,Slash,Faint Attack,Shadow Ball,Quick Attack,428
,,Teddiursa,29,Berserk Gene,Slash,Submission,Rock Slide,Mud Slap,770
,,Sunflora,28,Miracleberry,Giga Drain,Sludge Bomb,Leech Seed,Synthesis,876
,,Corsola,28,Berry,Waterfall,Ice Beam,Mirror Coat,Ancientpower,678
,,,,,,,,,
,,,,,,,,,
(immediate),Lass LASS (2) BRIDGET,Wigglytuff,27,Berry Juice,Body Slam,Psychic M,Ice Beam,Softboiled,630
,,Azumarill,28,Berry Juice,Waterfall,Ice Beam,Body Slam,Submission,918
,,Raichu,27,Berry Juice,Thunderbolt,Surf,Lovely Kiss,Body Slam,705
,,Stantler,27,Berry Juice,Headbutt,Hypnosis,Bite,Double Kick,954
,,,,,,,,,
,,,,,,,,,
,Whitney WHITNEY (1) WHITNEY,Nidoqueen,29,Berry Juice,Earthquake,Thunderpunch,Toxic,Ice Punch,1205
,,Chansey,31,Gold Berry,Attract,Thunder Wave,Seismic Toss,Softboiled,1693
,,Aipom,29,Miracleberry,Shadow Ball,Body Slam,Hidden Power (Flying),No Move,584
,,Girafarig,29,Miracleberry,Psybeam,Headbutt,Crunch,Earthquake,925
,,Clefable,30,Miracleberry,Moonlight,Thunderpunch,Ice Punch,Fire Punch,829
,,Miltank,30,Berry,Attract,Body Slam,Earthquake,Milk Drink,1285
Route 35,Camper CAMPER (4) ELLIOT,Poliwhirl,33,Berry Juice,Waterfall,Ice Beam,Lovely Kiss,Submission,926
,,Graveler,32,Pink Bow,Rock Slide,Earthquake,Body Slam,No Move,918
,,Hypno,31,Berry Juice,Psybeam,Seismic Toss,Shadow Ball,Fire Punch,1096
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
immediate,Picnicker PICNICKER (4) KIM,Butterfree,32,Twistedspoon,Psychic M,Giga Drain,Sleep Powder,Hidden Power (Fire),1097
,,Beedrill,32,Poison Barb,Sludge Bomb,Mega Punch,Giga Drain,Return,1090
,,Dugtrio,31,Berry Juice,Dig,Rock Slide,Tri Attack,Sludge Bomb,1016
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Picnicker PICNICKER (3) BROOKE,Pidgeotto,33,Pink Bow,Wing Attack,Steel Wing,Razor Wind,Quick Attack,799
,,Aipom,32,Miracleberry,Headbutt,Quick Attack,Double Kick,No Move,644
,,Gloom,33,Berry Juice,Giga Drain,Sludge Bomb,Sleep Powder,Hidden Power (Ghost),933
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Firebreather FIREBREATHER (6) WALT,Magcargo,32,Focus Band,Flamethrower,Rock Slide,Earthquake,Body Slam,1056
,,Dunsparce,32,Berry Juice,Double Edge,Earthquake,Rock Slide,Glare,857
,,Tangela,32,Berry Juice,Giga Drain,Body Slam,Faint Attack,Synthesis,1138
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Camper CAMPER (3) IVAN,Croconaw,33,Nevermeltice,Waterfall,Ice Beam,Body Slam,No Move,1011
,,Quilava,33,Berry Juice,Flamethrower,Thunderpunch,Double Edge,Iron Tail,1004
,,Bayleef,33,Miracleberry,Giga Drain,Synthesis,Sludge Bomb,Psychic M,997
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
(immediate),BirdKeeper BIRD_KEEPER (3) BRYAN,Fearow,33,Berry Juice,Wing Attack,Tri Attack,Steel Wing,Quick Attack,1145
,,Murkrow,32,Berry Juice,Wing Attack,Faint Attack,Steel Wing,Swords Dance,733
,,Pidgeotto,33,Berry Juice,Razor Wind,Return,Steel Wing,Quick Attack,799
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,BugCatcher BUG_CATCHER (8) ARNIE,Weedle,80,Poison Barb,Poison Sting,Absorb,No Move,No Move,891
,,Caterpie,80,Berry Juice,Tackle,Absorb,No Move,No Move,908
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
(immediate),Officer OFFICER (2) DIRK,Granbull,33,Miracleberry,Headbutt,Earthquake,Lovely Kiss,Submission,1258
,,Arcanine,33,Berry Juice,Flamethrower,Crunch,Body Slam,Quick Attack,1506
,,Machoke,33,Miracleberry,Submission,Rock Slide,Rest,Body Slam,1032
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Juggler JUGGLER (1) IRWIN,Electrode,30,Hard Stone,Selfdestruct,Thunderbolt,Rollout,No Move,964
,,Ivysaur,32,Berry Juice,Giga Drain,Sludge Bomb,Sleep Powder,Body Slam,966
,,Magcargo,32,Miracleberry,Flamethrower,Rock Slide,Body Slam,Earthquake,1056
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
National park,PokefanF POKEFANF (1) BEVERLY,Bellossom,33,Miracleberry,Petal Dance,Sludge Bomb,Stun Spore,Double Edge,1301
,,Marowak,31,Thick Club,Bone Club,Rock Slide,Body Slam,No Move,823
,,Azumarill,34,Nevermeltice,Hydro Pump,Ice Beam,Attract,Double Edge,1114
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Schoolboy SCHOOLBOY (1) JACK,Qwilfish,32,Berry Juice,Sludge Bomb,Waterfall,Selfdestruct,Faint Attack,685
,,Tangela,34,Leftovers,Mega Drain,Synthesis,Sleep Powder,Body Slam,1209
,,Rapidash,33,Charcoal,Flamethrower,Take Down,Jump Kick,Iron Tail,1357
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Lass LASS (4) KRISE,Fearow,34,Berry Juice,Wing Attack,Tri Attack,Steel Wing,Quick Attack,1180
,,Sandslash,34,Soft Sand,Dig,Rock Slide,Slash,Reversal,1187
,,Primeape,32,Berserk Gene,Submission,Rock Slide,Headbutt,Mach Punch,1021
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,PokefanM POKEFANM (1) WILLIAM,Raichu,34,Berry Juice,Thunderbolt,Surf,Sweet Kiss,Quick Attack,888
,,Jumpluff,34,Leftovers,Giga Drain,Wing Attack,Sleep Powder,Seismic Toss,1282
,,Graveler,31,Pink Bow,Rock Slide,Earthquake,Body Slam,Selfdestruct,890
,,Kingler,33,Berry Juice,Crabhammer,Metal Claw,Body Slam,No Move,1456
,,,,,,,,,
,,,,,,,,,
Route 36,Schoolboy SCHOOLBOY (3) ALAN,Arbok,34,Berry Juice,Sludge Bomb,Giga Drain,Crunch,No Move,1071
,,Sudowoodo,34,Hard Stone,Rock Slide,Low Kick,Ice Punch,Double Edge,983
,,Hitmonchan,34,Berry Juice,Submission,Rock Slide,Thunderpunch,Mach Punch,1020
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Psychic PSYCHIC_T (7) MARK,Kadabra,34,Miracleberry,Psybeam,Ice Punch,Thunderpunch,Fire Punch,1056
,,Girafarig,34,Berry Juice,Psychic M,Earthquake,Body Slam,Crunch,1085
,,Mr  Mime,34,Berry Juice,Dream Eater,Fire Punch,Lovely Kiss,Ice Punch,990
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Route 37,Twins TWINS (2) ANN & ANNE,Smeargle,34,Berry Juice,Aeroblast,Extremespeed,Ancientpower,Thunderbolt,772
